 ,Label,Area,XM,YM
1,C0-s2_e1_7d_comm01_13_0,0.074,31.976,88.504
2,C0-s2_e1_7d_comm01_13_1,0.074,9.892,86.779
3,C0-s2_e1_7d_comm01_13_2,0.107,54.029,85.474
4,C0-s2_e1_7d_comm01_13_3,0.132,120.423,84.897
5,C0-s2_e1_7d_comm01_13_4,0.082,117.839,84.616
6,C0-s2_e1_7d_comm01_13_5,0.165,118.625,84.235
7,C0-s2_e1_7d_comm01_13_6,0.058,121.587,83.970
8,C0-s2_e1_7d_comm01_13_7,0.115,119.446,83.827
9,C0-s2_e1_7d_comm01_13_8,0.206,111.282,83.003
10,C0-s2_e1_7d_comm01_13_9,0.066,111.660,82.310
11,C0-s2_e1_7d_comm01_13_10,0.082,108.333,82.073
12,C0-s2_e1_7d_comm01_13_11,0.231,107.438,81.272
13,C0-s2_e1_7d_comm01_13_12,0.313,109.222,79.220
14,C0-s2_e1_7d_comm01_13_13,0.082,52.573,79.241
15,C0-s2_e1_7d_comm01_13_14,0.107,53.498,76.247
16,C0-s2_e1_7d_comm01_13_15,0.115,52.294,74.021
17,C0-s2_e1_7d_comm01_13_16,0.124,50.857,71.238
18,C0-s2_e1_7d_comm01_13_17,0.066,50.144,70.914
19,C0-s2_e1_7d_comm01_13_18,0.107,49.000,68.913
20,C0-s2_e1_7d_comm01_13_19,0.190,49.002,67.028
21,C0-s2_e1_7d_comm01_13_20,0.157,48.781,66.248
22,C0-s2_e1_7d_comm01_13_21,0.519,115.872,53.846
23,C0-s2_e1_7d_comm01_13_22,0.544,32.491,51.218
24,C0-s2_e1_7d_comm01_13_23,0.148,32.758,50.051
25,C0-s2_e1_7d_comm01_13_24,0.561,30.394,45.597
26,C0-s2_e1_7d_comm01_13_25,0.066,44.651,43.765
27,C0-s2_e1_7d_comm01_13_26,0.091,45.288,42.936
28,C0-s2_e1_7d_comm01_13_27,0.091,50.134,40.245
29,C0-s2_e1_7d_comm01_13_28,0.173,65.339,23.843
30,C0-s2_e1_7d_comm01_13_29,0.140,66.297,23.749
31,C0-s2_e1_7d_comm01_13_30,0.115,66.478,22.855
32,C0-s2_e1_7d_comm01_13_31,1.723,23.123,99.186
33,C0-s2_e1_7d_comm01_13_32,1.806,103.071,96.121
34,C0-s2_e1_7d_comm01_13_33,1.360,7.919,93.850
35,C0-s2_e1_7d_comm01_13_34,2.803,7.794,92.725
36,C0-s2_e1_7d_comm01_13_35,2.787,9.030,91.563
37,C0-s2_e1_7d_comm01_13_36,1.501,7.517,91.514
38,C0-s2_e1_7d_comm01_13_37,1.344,9.909,90.684
39,C0-s2_e1_7d_comm01_13_38,2.729,9.530,89.632
40,C0-s2_e1_7d_comm01_13_39,1.773,31.489,89.206
41,C0-s2_e1_7d_comm01_13_40,2.646,9.488,88.466
42,C0-s2_e1_7d_comm01_13_41,1.715,31.146,88.082
43,C0-s2_e1_7d_comm01_13_42,1.492,32.543,87.942
44,C0-s2_e1_7d_comm01_13_43,1.822,119.285,87.081
45,C0-s2_e1_7d_comm01_13_44,1.880,120.461,87.149
46,C0-s2_e1_7d_comm01_13_45,2.292,9.016,86.678
47,C0-s2_e1_7d_comm01_13_46,1.294,10.379,87.232
48,C0-s2_e1_7d_comm01_13_47,1.781,31.371,86.995
49,C0-s2_e1_7d_comm01_13_48,1.937,54.120,86.271
50,C0-s2_e1_7d_comm01_13_49,2.820,117.673,85.632
51,C0-s2_e1_7d_comm01_13_50,1.451,10.393,86.187
52,C0-s2_e1_7d_comm01_13_51,2.036,55.636,85.835
53,C0-s2_e1_7d_comm01_13_52,1.377,31.546,85.930
54,C0-s2_e1_7d_comm01_13_53,2.292,120.685,85.675
55,C0-s2_e1_7d_comm01_13_54,2.135,53.226,85.262
56,C0-s2_e1_7d_comm01_13_55,1.929,118.691,85.137
57,C0-s2_e1_7d_comm01_13_56,1.542,10.043,85.152
58,C0-s2_e1_7d_comm01_13_57,1.294,54.675,85.019
59,C0-s2_e1_7d_comm01_13_58,1.822,32.247,84.984
60,C0-s2_e1_7d_comm01_13_59,1.261,119.673,84.665
61,C0-s2_e1_7d_comm01_13_60,2.515,52.524,84.175
62,C0-s2_e1_7d_comm01_13_61,3.199,115.233,84.211
63,C0-s2_e1_7d_comm01_13_62,1.649,108.590,84.381
64,C0-s2_e1_7d_comm01_13_63,2.993,120.580,83.974
65,C0-s2_e1_7d_comm01_13_64,2.399,122.372,83.758
66,C0-s2_e1_7d_comm01_13_65,1.698,32.474,83.910
67,C0-s2_e1_7d_comm01_13_66,2.267,111.400,83.837
68,C0-s2_e1_7d_comm01_13_67,1.822,117.539,83.643
69,C0-s2_e1_7d_comm01_13_68,2.473,53.784,83.104
70,C0-s2_e1_7d_comm01_13_69,2.251,118.678,83.222
71,C0-s2_e1_7d_comm01_13_70,2.877,115.683,83.099
72,C0-s2_e1_7d_comm01_13_71,2.391,112.622,83.136
73,C0-s2_e1_7d_comm01_13_72,2.135,51.963,83.039
74,C0-s2_e1_7d_comm01_13_73,2.308,108.076,83.011
75,C0-s2_e1_7d_comm01_13_74,1.698,121.131,82.994
76,C0-s2_e1_7d_comm01_13_75,1.830,110.812,82.367
77,C0-s2_e1_7d_comm01_13_76,2.078,107.211,82.100
78,C0-s2_e1_7d_comm01_13_77,1.929,119.152,81.810
79,C0-s2_e1_7d_comm01_13_78,1.591,51.702,81.659
80,C0-s2_e1_7d_comm01_13_79,1.690,52.842,81.537
81,C0-s2_e1_7d_comm01_13_80,1.781,112.266,81.755
82,C0-s2_e1_7d_comm01_13_81,1.509,54.156,81.711
83,C0-s2_e1_7d_comm01_13_82,1.550,108.813,81.327
84,C0-s2_e1_7d_comm01_13_83,1.921,106.571,80.884
85,C0-s2_e1_7d_comm01_13_84,1.245,111.295,80.881
86,C0-s2_e1_7d_comm01_13_85,1.756,54.147,80.613
87,C0-s2_e1_7d_comm01_13_86,1.566,108.015,80.584
88,C0-s2_e1_7d_comm01_13_87,2.424,52.451,80.107
89,C0-s2_e1_7d_comm01_13_88,1.872,109.650,80.104
90,C0-s2_e1_7d_comm01_13_89,1.847,111.205,79.665
91,C0-s2_e1_7d_comm01_13_90,1.970,54.324,79.497
92,C0-s2_e1_7d_comm01_13_91,2.185,107.904,79.409
93,C0-s2_e1_7d_comm01_13_92,1.773,51.907,78.696
94,C0-s2_e1_7d_comm01_13_93,1.665,110.221,78.808
95,C0-s2_e1_7d_comm01_13_94,1.649,53.100,78.548
96,C0-s2_e1_7d_comm01_13_95,2.300,109.133,78.158
97,C0-s2_e1_7d_comm01_13_96,1.476,54.267,78.241
98,C0-s2_e1_7d_comm01_13_97,2.886,51.880,76.733
99,C0-s2_e1_7d_comm01_13_98,2.177,53.678,77.026
100,C0-s2_e1_7d_comm01_13_99,1.649,52.680,75.909
101,C0-s2_e1_7d_comm01_13_100,2.795,53.471,74.990
102,C0-s2_e1_7d_comm01_13_101,1.451,51.873,74.655
103,C0-s2_e1_7d_comm01_13_102,1.904,51.242,73.614
104,C0-s2_e1_7d_comm01_13_103,2.581,52.546,72.847
105,C0-s2_e1_7d_comm01_13_104,2.482,50.365,72.237
106,C0-s2_e1_7d_comm01_13_105,1.979,51.498,71.819
107,C0-s2_e1_7d_comm01_13_106,2.589,49.198,70.174
108,C0-s2_e1_7d_comm01_13_107,1.913,50.625,70.288
109,C0-s2_e1_7d_comm01_13_108,2.407,97.220,4.783
110,C0-s2_e1_7d_comm01_13_109,2.696,49.574,68.278
111,C0-s2_e1_7d_comm01_13_110,2.012,48.256,68.097
112,C0-s2_e1_7d_comm01_13_111,1.632,48.109,66.669
113,C0-s2_e1_7d_comm01_13_112,1.649,49.644,66.472
114,C0-s2_e1_7d_comm01_13_113,1.599,48.577,65.434
115,C0-s2_e1_7d_comm01_13_114,2.119,49.941,65.091
116,C0-s2_e1_7d_comm01_13_115,1.880,33.530,62.804
117,C0-s2_e1_7d_comm01_13_116,2.597,33.214,60.157
118,C0-s2_e1_7d_comm01_13_117,0.956,124.450,58.505
119,C0-s2_e1_7d_comm01_13_118,3.009,31.916,57.909
120,C0-s2_e1_7d_comm01_13_119,1.855,33.092,56.889
121,C0-s2_e1_7d_comm01_13_120,2.712,31.775,55.251
122,C0-s2_e1_7d_comm01_13_121,2.069,32.881,55.505
123,C0-s2_e1_7d_comm01_13_122,1.764,115.336,54.819
124,C0-s2_e1_7d_comm01_13_123,1.624,116.588,54.570
125,C0-s2_e1_7d_comm01_13_124,2.036,34.344,53.804
126,C0-s2_e1_7d_comm01_13_125,1.756,114.591,53.283
127,C0-s2_e1_7d_comm01_13_126,1.468,117.027,53.335
128,C0-s2_e1_7d_comm01_13_127,2.844,115.850,52.563
129,C0-s2_e1_7d_comm01_13_128,1.690,32.598,52.989
130,C0-s2_e1_7d_comm01_13_129,1.970,34.135,52.684
131,C0-s2_e1_7d_comm01_13_130,1.888,31.871,51.468
132,C0-s2_e1_7d_comm01_13_131,1.773,33.583,51.671
133,C0-s2_e1_7d_comm01_13_132,1.954,30.216,51.312
134,C0-s2_e1_7d_comm01_13_133,1.542,33.225,50.579
135,C0-s2_e1_7d_comm01_13_134,1.649,30.684,50.259
136,C0-s2_e1_7d_comm01_13_135,1.360,31.904,49.899
137,C0-s2_e1_7d_comm01_13_136,3.232,29.723,48.699
138,C0-s2_e1_7d_comm01_13_137,1.682,33.001,49.203
139,C0-s2_e1_7d_comm01_13_138,1.228,30.828,49.123
140,C0-s2_e1_7d_comm01_13_139,1.393,31.860,48.619
141,C0-s2_e1_7d_comm01_13_140,2.927,28.215,47.907
142,C0-s2_e1_7d_comm01_13_141,2.177,42.398,47.646
143,C0-s2_e1_7d_comm01_13_142,1.270,30.906,47.681
144,C0-s2_e1_7d_comm01_13_143,2.968,31.666,46.883
145,C0-s2_e1_7d_comm01_13_144,2.267,28.760,46.698
146,C0-s2_e1_7d_comm01_13_145,1.863,29.946,46.512
147,C0-s2_e1_7d_comm01_13_146,1.937,42.548,45.933
148,C0-s2_e1_7d_comm01_13_147,2.185,27.699,45.667
149,C0-s2_e1_7d_comm01_13_148,1.839,43.705,45.549
150,C0-s2_e1_7d_comm01_13_149,3.133,31.944,44.659
151,C0-s2_e1_7d_comm01_13_150,1.550,29.181,45.135
152,C0-s2_e1_7d_comm01_13_151,1.426,30.754,45.030
153,C0-s2_e1_7d_comm01_13_152,1.459,26.943,44.914
154,C0-s2_e1_7d_comm01_13_153,1.756,44.485,44.692
155,C0-s2_e1_7d_comm01_13_154,2.234,45.489,44.061
156,C0-s2_e1_7d_comm01_13_155,2.473,30.676,43.747
157,C0-s2_e1_7d_comm01_13_156,3.281,27.802,43.288
158,C0-s2_e1_7d_comm01_13_157,2.201,26.398,43.724
159,C0-s2_e1_7d_comm01_13_158,1.319,29.212,43.870
160,C0-s2_e1_7d_comm01_13_159,2.844,44.617,42.639
161,C0-s2_e1_7d_comm01_13_160,1.929,46.180,42.833
162,C0-s2_e1_7d_comm01_13_161,1.377,30.018,42.815
163,C0-s2_e1_7d_comm01_13_162,1.352,28.820,42.793
164,C0-s2_e1_7d_comm01_13_163,1.773,32.022,42.293
165,C0-s2_e1_7d_comm01_13_164,1.839,26.205,42.507
166,C0-s2_e1_7d_comm01_13_165,1.187,30.923,42.084
167,C0-s2_e1_7d_comm01_13_166,2.210,47.498,41.664
168,C0-s2_e1_7d_comm01_13_167,3.059,49.366,41.485
169,C0-s2_e1_7d_comm01_13_168,3.141,29.367,41.589
170,C0-s2_e1_7d_comm01_13_169,2.762,46.527,40.973
171,C0-s2_e1_7d_comm01_13_170,1.121,27.528,41.104
172,C0-s2_e1_7d_comm01_13_171,2.704,31.104,40.467
173,C0-s2_e1_7d_comm01_13_172,1.171,48.696,40.700
174,C0-s2_e1_7d_comm01_13_173,1.707,26.335,40.458
175,C0-s2_e1_7d_comm01_13_174,1.369,28.685,40.602
176,C0-s2_e1_7d_comm01_13_175,1.237,29.736,40.371
177,C0-s2_e1_7d_comm01_13_176,3.042,50.746,39.735
178,C0-s2_e1_7d_comm01_13_177,2.531,27.293,39.631
179,C0-s2_e1_7d_comm01_13_178,1.764,48.130,39.763
180,C0-s2_e1_7d_comm01_13_179,2.152,49.428,39.464
181,C0-s2_e1_7d_comm01_13_180,2.292,51.764,39.158
182,C0-s2_e1_7d_comm01_13_181,2.440,29.183,39.228
183,C0-s2_e1_7d_comm01_13_182,2.069,104.885,37.490
184,C0-s2_e1_7d_comm01_13_183,1.962,70.393,29.304
185,C0-s2_e1_7d_comm01_13_184,2.787,65.824,28.098
186,C0-s2_e1_7d_comm01_13_185,2.729,67.978,27.380
187,C0-s2_e1_7d_comm01_13_186,3.133,64.821,24.749
188,C0-s2_e1_7d_comm01_13_187,2.177,66.056,24.741
189,C0-s2_e1_7d_comm01_13_188,2.754,67.177,23.275
190,C0-s2_e1_7d_comm01_13_189,2.210,65.333,23.021
191,C0-s2_e1_7d_comm01_13_190,2.111,65.805,22.005
192,C0-s2_e1_7d_comm01_13_191,2.449,66.437,21.022
193,C0-s2_e1_7d_comm01_13_192,2.820,64.747,20.302
194,C0-s2_e1_7d_comm01_13_193,2.292,66.449,19.717
195,C0-s2_e1_7d_comm01_13_194,1.913,64.022,19.120
196,C0-s2_e1_7d_comm01_13_195,2.729,96.630,6.073
197,C0-s2_e1_7d_comm01_13_196,2.688,112.237,5.708
